Переменная|Англ.|Русс.|Укр.
frontend.controllers.vendor.cat_cr|You successfully created your first catalogue!|Вы успешно создали свой первый каталог!|Ви успішно створили свій перший каталог!
frontend.views.client.dashboard.wanna_work|Do you want to work with your suppliers or find a new one?|Вы хотите работать со своими поставщиками или найти новых?|Ви хочете працювати зі своїми постачальниками або знайти нових?
frontend.views.vendor.choose_xls_two|Make a choice. XLSX|Выберите .XLSX|Виберіть .XLSX
frontend.views.user.default.choose_profile|Select business-profile|Выберите бизнес-профиль|Виберіть бізнес-профіль
frontend.views.vendor.var12|Select currency from the list|Выберите валюту из списка|Виберіть валюту зі списку
frontend.views.order.guides.choose_product|Select his product|Выберите его продукт|Виберіть його продукт
frontend.views.user.default.choose_list|To get access to your business-profile please select from the available |Выберите из имеющихся для доступа в Ваш бизнес-профиль|Виберіть з наявних для доступу в Ваш бізнес-профіль
frontend.views.user.default.choose|To get access to your business-profile please select from the available or create new|Выберите из имеющихся для доступа в Ваш бизнес-профиль или создайте новый|Виберіть з наявних для доступу в Ваш бізнес-профіль або створіть новий
franchise.views.catalog.base_new.choose|Select directory|Выберите каталог|Виберіть каталог
frontend.views.request.choose_category|Choose product category|Выберите категорию товара|Виберіть категорію товару
frontend.views.vendor.choose_manager|Select manager|Выберите менеджера|Виберіть менеджера
franchise.views.finance.choose|Choose month|Выберите месяц|Виберіть місяць
frontend.views.vendor.var11|Select new currency for the catalogue|Выберите новую валюту каталога|Виберіть нову валюту каталогу
frontend.views.user.default.choose_organization|Select an organization|Выберите организацию|Виберіть організацію
frontend.views.order.guides.choose_vendor|Select supplier|Выберите поставщика|Виберіть постачальника
franchise.views.site.settings.choose_boss|Choose head for manager|Выберите руководителя для менеджера|Виберіть керівника для менеджера
frontend.views.vendor.choose_two|Make a choice… |Выберите...|Виберіть...
frontend.views.order.guides.choosed|Selected|Выбран|обрано
frontend.views.order.guides.choose_two|Select|Выбрать|вибрати
frontend.views.vendor.off|Off|Выкл|викл
frontend.modules.form.off|Off |Выключено|Виключено
Выпечка|Pastry|Выпечка|випічка
frontend.views.order.ready|Completed|Выполнен|виконано
frontend.views.vendor.in_process|In progress|Выполняется|виконується
frontend.views.order.in_process|are in progress|Выполняются|виконуються
frontend.views.site.thanks|I express my gratitude to MixCart for making our work much more easier. I recommend|Выражаю благодарность MixCart, за то, что упростили нашу работу в несколько раз. Рекомендую.|Висловлюю подяку MixCart, за те, що спростили нашу роботу в кілька разів. Рекомендую.
franchise.views.site.high|High (system is not in operation)|Высокий (Система не работает)|Високий (Система не працює)
franchise.views.finance.settle_bill|Issue invoice|Выставить счет|Виставити рахунок
frontend.views.site.set_limits|Limitation setting|Выставление лимитов|Виставлення лімітів
frontend.views.layouts.header.exit|Exit|Выход|вихід
franchise.views.site.more_mid|Above the Medium (not in progress, not critical business process)|Выше среднего (Не работает не критичный бизнес процесс)|Вище середнього (Не працює не критичний бізнес процес)
Вьетнам|Vietnam|Вьетнам|В'єтнам
Габон|Gabon|Габон|Габон
Габонская Республика||Габонская Республика|Габонская Республіка
Гаити|Haiti|Гаити|Гаїті
Гайана|Haiana|Гайана|Гайана
Гамбия|Gambia|Гамбия|Гамбія
Гана|Ghana|Гана|Гана
Гваделупа|Guadeloupe|Гваделупа|Гваделупа
Гватемала|Guatemala|Гватемала|Гватемала
Гвинейская Республика||Гвинейская Республика|Гвінейська Республіка
Гвинея|Guinea|Гвинея|Гвінея
Гвинея-Бисау|Guinea-Bissau|Гвинея-Бисау|Гвінея-Бісау
Германия|Germany|Германия|Німеччина
Гернси|Guernsey|Гернси|Гернсі
Гибралтар|Gibraltar|Гибралтар|Гібралтар
frontend.views.vendor.main|Main|Главная|Головна
Главный каталог|Main Catalog|Главный каталог|головний каталог
frontend.views.vendor.main_catalog_six|Main catalogue -|Главный каталог - |Головний каталог -
frontend.views.site.deep_anal|Deep analytics of all sales. Sales history: who purchases, what, how many and when. And analytics of work of your customer managers. |Глубокая аналитика всех продаж. История заказов, кто закупает, что, сколько и когда. А так же аналитика работы ваших менеджеров по работе с клиентами.  |Глибока аналітика всіх продажів. Історія замовлень, хто закуповує, що, скільки і коли. А так же аналітика роботи ваших менеджерів по роботі з клієнтами.
Говядина|Beef|Говядина|яловичина
Головные уборы|Headwear|Головные уборы|Головні убори
Гондурас|Honduras|Гондурас|Гондурас
Гонконг|Hong Kong|Гонконг|Гонконг
frontend.views.vendor.city|City|Город|Місто
frontend.views.order.city_two|City|Город:|Місто:
горчичное масло|Mustard oil|Горчичное масло|гірчичне масло
Горячий шоколад|Hot chocolate|Горячий шоколад|Гарячий шоколад
Государство Израиль||Государство Израиль|держава Ізраїль
Государство Катар||Государство Катар|держава Катар
Государство Кувейт||Государство Кувейт|держава Кувейт
frontend.clientintegr.rkws.views.waybill.ready||Готова к выгрузке|Готова до вивантаження
frontend.views.settings.ready_two|Completed|Готово|Готово
Готово!|Done!|Готово!|Готово!
Готовые блюда|Ready meals|Готовые блюда|готові страви
Готовые завтраки и каши|Breakfast cereals and porridges|Готовые завтраки и каши|Готові сніданки і каші
Гранат|Pomegranate|Гранат|гранат
Гренада|Grenada|Гренада|Гренада
Гренландия|Greenland|Гренландия|Гренландія
Греция|Greece|Греция|Греція
Греческая Республика||Греческая Республика|Грецька Республіка
Грибы|Mushrooms|Грибы|гриби
Грузия|Georgia|Грузия|Грузія
Груши|Pears|Груши|груші
Гуам|Guam|Гуам|Гуам
Гусь|Goose|Гусь|Гусь
market.views.site.info.add|Add|ДОБАВИТЬ|ДОДАТИ
market.views.site.supplier.add_vendor|Add supplier|ДОБАВИТЬ ПОСТАВЩИКА|ДОДАТИ ПОСТАЧАЛЬНИКА
frontend.views.vendor.add_good|PRODUCT ADDING|ДОБАВЛЕНИЕ ТОВАРА|ДОДАВАННЯ ТОВАРУ
frontend.views.request.yep|Yes|Да|Так
frontend.views.site.yep|Yes, one restaurant can have one or several purchasers. For example, you can divide purchase of products and drinks. |Да, в одном ресторане у вас может быть как один, так и несколько закупщиков. Например вы можете разделить закупку продуктов и бара.|Так, в одному ресторані у вас може бути як один, так і кілька закупівельників. Наприклад ви можете розділити закупівлю продуктів і бару.
frontend.views.site.you_can|"Yes, you can show part of your products in the Market place or hide some.<br/> To hide products from the Market place please go to ""My catalogues"" and enter basic catalogue and press ""edit"" and hide the required products.<br/> The hidden products will be displayed for the returning customers but new customers who come to the Market place may not see them. "|"Да, вы можете не отображать все продукты или часть из них на маркет плейсе.<br/> Для того, чтобы скрыть продукты из маркет плейса перейдите в раздел ""мои каталоги"" войдите в базовый каталог, нажмите ""редактировать"", и скройте необходимые продукты.<br/> Скрытые продукты будут видны вашим клиентам, но новые клиенты, пришедшие на маркет плейс, не смогут их увидеть."|"Так, ви можете не відображати всі продукти або частина з них на маркет Плейс. <br/> Для того, щоб приховати продукти з маркет плейса перейдіть в розділ ""мої каталоги"" увійдіть в базовий каталог, натисніть ""редагувати"", і сховайте необхідні продукти . <br/> Приховані продукти будуть видні вашим клієнтам, але нові клієнти, що прийшли на маркет плейс, не зможуть їх побачити."
frontend.views.site.repeat_orders_two|"Yes, in order to repeat any of the previous orders go to ""Orders History"", choose the required order and send it to the supplier again. You can also add order or delete part of the ordered products. "|"Да, для того, что бы повторить любой из прошлых заказов, зайдите в раздел ""история заказов"", выберите необходимый заказ, и отправьте его поставщику вновь. Вы так же можете дополнить заказ или удалить часть, заказываемых продуктов."|"Так, для того, що б повторити будь-який з попередніх замовлень, зайдіть в розділ ""історія замовлень"", виберіть необхідний замовлення, і відправте його постачальнику знову. Ви так само можете доповнити замовлення або видалити частину, що замовляються продуктів."
frontend.views.site.several_regions|Yes. In case that you deliver to several regions of RF, specify it in the Settings.  In such a way customers from regions specified in the settings can see your products. |Да, если вы осуществляете поставки в несколько регионов РФ, то в настройках укажите это. Тогда ваши продукты смогут видеть клиенты из тех регионов, которые вы установили в настройках.|Так, якщо ви здійснюєте поставки в кілька регіонів РФ, то в настройках вкажіть це. Тоді ваші продукти зможуть бачити клієнти з тих регіонів, які ви встановили в настройках.
frontend.views.site.of_course|Yes, of course! You can set limit per month for purchase.<br/>When the limit is reached, MixCart will inform you. Further purchases will be available only after limit extension or cancellation of the function. |Да, конечно! Вы можете выставить месячный лимит закупки.<br/> При исчерпании лимита, MixCart сообщит вам об этом. Далее закупки будут возможны только при увеличении лимита или отключении данной функции.|Так звичайно! Ви можете виставити місячний ліміт закупівлі. <br/> При вичерпанні ліміту, MixCart повідомить вам про це. Далі закупівлі будуть можливі тільки при збільшенні ліміту або відключенні даної функції.
frontend.views.site.sure|Yes, of course! In your account you can add several purchasers, each of them will be related to one or another restaurant. Besides, you can look through the analytics of each purchaser (restaurant) individually or view all managers together.  |Да, конечно. Вы можете добавить в свой аккаунт, нескольких закупщиков, каждый из которых имеет отношение к тому или иному ресторану. Вы так же можете просматривать аналитику по каждому отдельному менеджеру (ресторану), или сделать выборку по всем менеджерам сразу.|Так звичайно. Ви можете додати в свій аккаунт, кількох закупівельників, кожен з яких має відношення до того чи іншого ресторану. Ви так само можете переглядати аналітику по кожному окремому менеджеру (ресторану), або зробити вибірку по всім менеджерам відразу.
frontend.views.site.|"You can do it in the section ""My catalogues"" by opening basic catalogue. Hide prices for definite or all products. At that, your returning customers can see your prices. But keep in mind that suppliers with accessible prices look more attractive for new customers. "|"Да, можете. В разделе ""мои каталоги"" отредактируйте базовый каталог. Скройте для конкретных продуктов или для всех. При этом ваши текущие клиенты смогут видеть ваши цены. Но имейте в виду, что для новых клиентов, поставщики с открытыми ценами, более привлекательны."|"Так можете. У розділі ""мої каталоги"" відредагуйте базовий каталог. Сховайте для конкретних продуктів або для всіх. При цьому ваші поточні клієнти зможуть бачити ваші ціни. Але майте на увазі, що для нових клієнтів, постачальники з відкритими цінами, більш привабливі."
frontend.views.order.yep_delete_two|Yes, delete|Да, удалить|Так, видалити
common.mail.welcome.i_know|Yes, I know, implementation of new tools seem to be difficult in the beginning, but believe me, it is much easier and the result is worth it|Да, я знаю, сначала кажется сложным внедрение новых инструментов, но, поверьте, все намного проще, чем может показаться, и результат того стоит|Так, я знаю, спочатку здається складним впровадження нових інструментів, але, повірте, все набагато простіше, ніж може здатися, і результат того вартий
api.common.mail.confirm_email.i_know|Yes, I know, implementation of new tools seems to be difficult in the beginning, but believe me, it is much easier and the result is worth it.|Да, я знаю, сначала кажется сложным внедрение новых инструментов, но, поверьте, все намного проще, чем может показаться, и результат того стоит.|Так, я знаю, спочатку здається складним впровадження нових інструментів, але, повірте, все набагато простіше, ніж може здатися, і результат того вартий.
frontend.views.vendor.farther|Next|Далее|дaлі
Дания|Denmark|Дания|Данія
frontend.views.vendor.var13|This currency is already used!|Данная валюта уже используется!|Дана валюта вже використовується!
market.views.site.restaurant.service|This service is available for privileged suppliers if you want to know details of the service please call|"Данная услуга доступна для привилегированных поставщиков,
если вы хотите узнать подробнее об услуге,
обратитесь по телефону"|Дана послуга доступна для привілейованих постачальників,якщо ви хочете дізнатися докладніше про послугу,зверніться по телефону
franchise.views.organization.data|Data|Данные|дані
frontend.views.vendor.org_data|Company details|Данные организации:|Дані організації:
frontend.controllers.vendor.upd_data|Data successfully updated|Данные успешно обновлены|Дані успішно оновлені
common.models.already_in_use|This email can’t be used|Данный email не может быть использован|Даний email не може бути використаний
common.models.already_exists_two|This supplier is in your contact list!|Данный поставщик уже имеется в вашем списке контактов!|Даний постачальник вже є у вашому списку контактів!
frontend.views.order.date|Date|Дата|Дата
frontend.views.order.delivery_date|Delivery date|Дата доставки|дата доставки
frontend.controllers.order.date_changed|Delivery date was changed|Дата доставки изменена|Дата доставки змінена
frontend.controllers.order.seted_date|Delivery date is deleted|Дата доставки удалена|Дата доставки видалена
frontend.controllers.order.date_set|Delivery date is set|Дата доставки установлена|Дата доставки встановлена
frontend.views.order.delivery_date_three|Delivery date:|Дата доставки:|Дата доставки:
common.mail.request_pull.end_date|Date of completion|Дата завершения|Дата завершення
common.mail.request_set_resp.date_two|Appointment date|Дата назначения|Дата призначення
common.models.refreshing_date|Undating date|Дата обновления|Дата оновлення
Дата оплаты|Date of payment|Дата оплаты|дата оплати
common.mail.request_new_callback.resp_date|Response date|Дата отклика|Дата відгуку
common.models.send_date|Delivery date|Дата отправки|дата відправки
common.mail.request_invite_to_rest.invitation_date|Invitation date|Дата приглашения|Дата запрошення
franchise.views.organization.register_date_two|Registration date|Дата регистрации|дата реєстрації
common.models.cancel_date|Status change date|Дата смены статуса|Дата зміни статусу
frontend.views.vendor.cr_date|Creation date|Дата создания|дата створення
frontend.views.order.creating_date_two|Order creation date:|Дата создания заказа:|Дата створення замовлення:
Дата:|Date:|Дата:|Дата:
Двери|Doors|Двери|двері
frontend.views.order.var10|Do you really want to cancel order?|Действительно отменить заказ?|Дійсно скасувати замовлення?
frontend.views.vendor.dec|December|Декабрь|грудень
common.models.dec|December|Декабря|грудня
Декор интерьера|Interior decoration|Декор интерьера|декор інтер'єру
Демократическая Республика Конго||Демократическая Республика Конго|Демократична Республіка Конго
Демократическая Республика Сан-Томе и Принсипи||Демократическая Республика Сан-Томе и Принсипи|Демократична Республіка Сан-Томе і Прінсіпі
Демократическая Республика Тимор-Лесте||Демократическая Республика Тимор-Лесте|Демократична Республіка Тимор-Лешті
Демократическая Социалистическая Республика Шри-Ланка||Демократическая Социалистическая Республика Шри-Ланка|Демократична Соціалістична Республіка Шрі-Ланка
Десерты|Desserts|Десерты|Десерти
franchise.views.finance.detail|Detailed elaboration|Детализация|деталізація
Джерси|Jersey|Джерси|Джерсі
Джибути|Djibouti|Джибути|Джібуті
Дичь|Game birds|Дичь|дичина
frontend.views.site.for_rest|for restaurants|Для Ресторанов|для Ресторанів
common.mail.confirm_email.go_to|To complete the registration please click the following link:|Для завершения регистрации, пожалуйста, пройдите по следующей ссылке:|Для завершення реєстрації, будь ласка, пройдіть за наступним посиланням:
frontend.views.settings.if_you_wanna_two|For each email you add, you can select the events that notifications will be notified about.|Для каждого добавленного email вы можете выбрать события, о которых будут приходить уведомления.|Для кожного доданого email ви можете вибрати події, про які будуть приходити повідомлення.
frontend.views.site.index.for_vendors_two|for suppliers|Для поставщиков|для постачальників
common.mail.order_processing.link_for_details|To see details please click the link:|Для просмотра деталей пройдите по ссылке|Для перегляду деталей пройдіть по посиланню
common.mail.order_done.link_for_details|To see details please click the link:|Для просмотра деталей пройдите по ссылке:|Для перегляду деталей пройдіть по посиланню:
frontend.views.site.different_prices|I have different prices for different customers. What can I do?|Для разных клиентов у меня разные цены, как быть с этим?|Для різних клієнтів у мене різні ціни, як бути з цим?
frontend.views.site.index.for_rest|for restaurants|Для ресторанов|для ресторанів
frontend.views.site.simple_steps|In order to start working in MixCart right now, you need to do several simple questions. |Для того, что бы начать работать прямо сейчас в MixCart, вам нужно сделать несколько простых шагов.|Для того, що б почати працювати прямо зараз в MixCart, вам потрібно зробити кілька простих кроків.
frontend.views.client.settings.fill|To continue working with our system please fill in all the required fields in the form.|Для того, чтобы продолжить работу с нашей системой, заполните все необходимые поля формы.|Для того, щоб продовжити роботу з нашою системою, заповніть всі необхідні поля форми.
frontend.views.vendor.create_first|In order to continue working with our system please create your first catalogue.|Для того, чтобы продолжить работу с нашей системой, создайте ваш первый каталог.|Для того, щоб продовжити роботу з нашою системою, створіть ваш перший каталог.
frontend.views.vendor.contact_us|Please contact us to place on MixMarket platform|Для того, чтобы разместиться на площадке MixMarket, свяжитесь с нами|Для того, щоб розміститися на майданчику MixMarket, зв'яжіться з нами
franchise.views.site.franch|For franchise: Strategy Q4 2017|Для франчайзи: Стратегия Q4 2017|Для франчайзі: Стратегія Q4 2017
frontend.views.vendor.deliv_days|Days of delivery|Дни доставки|дні доставки
market.views.site.supplier.delivery_days|Delivery days|Дни доставки:|Дні доставки:
frontend.controllers.order.add_position|Added product {prod}|Добавил товар {prod}|Додав товар {prod}
market.views.site.supp.add|Add|Добавить|Додати
franchise.views.organization.add|Add|Добавить |Додати
common.models.rel_already_exists|None|Добавить в заказ|Додати в замовлення
frontend.views.order.guides.add_in_basket|Add to cart|Добавить в корзину|Додати в кошик
frontend.views.order.guides.add_to_templ_two|Add to template|Добавить в шаблон|Додати в шаблон
frontend.views.order.guides.add_all|Add all|Добавить все|Додати все
frontend.views.order.add_check|Add remark to the product|Добавить заметку к товару|Додати замітку до товару
franchise.views.layouts.add_client|Add customers|Добавить клиента|Додати клієнта
frontend.views.vendor.add_on_mix|Add on MixMarket|Добавить на MixMarket|Додати на MixMarket
frontend.views.vendor.add_new_goods|Add new products|Добавить новые товары|Додати нові товари
frontend.views.request.add_two|Add supplier|Добавить поставщика|Додати постачальника
frontend.views.request.add_vendor|Add supplier?|Добавить поставщика?|Додати постачальника?
frontend.views.vendor.add_products|Add products|Добавить продукты|Додати продукти
franchise.views.organization.add_rest_two|Add restaurant|Добавить ресторан|Додати ресторан
frontend.views.vendor.add_employee|Add employee|Добавить сотрудника|Додати співробітника
frontend.views.order.add_to_order|Add item|Добавить товар|Додати товар
frontend.views.vendor.goods_three|Add products|Добавить товары|Додати товари
frontend.controllers.vendor.added|Added|Добавлен|доданий
frontend.views.settings.new_email|New email is added|Добавлен новый email|Додано новий email
franchise.views.site.additional_number|Additional phone number|Добавочный номер|Додатковий номер
common.models.additional_phone_two|manager additional number|Добавочный номер менеджера|Додатковий номер менеджера
frontend.views.client.add.info|"Add information about your suppliers and their products. Press ""Continue"" to complete settings"|"Добавьте информацию о Ваших поставщиках и их продуктов. Нажмите ""Продолжить"" для завершения настроек"|"Додайте інформацію про Ваших постачальників і їх продуктів. Натисніть ""Продовжити"" для завершення налаштувань"
frontend.views.order.hint|Add a vendor to make your first order!|Добавьте поставщика, чтобы сделать ваш первый заказ!|Додайте постачальника, щоб зробити ваш перший замовлення!
frontend.views.vendor.delivery_regions|Add regions of your supply|Добавьте регионы в которые Вы доставляете|Додайте регіони в які Ви приносите
frontend.views.client.add.account|Add your suppliers to your account|Добавьте своих поставщиков в Ваш аккаунт|Додайте своїх постачальників в Ваш аккаунт
common.models.welcome|Welcome to MixCart|Добро пожаловать в  MixCart|Ласкаво просимо в MixCart
franchise.views.site.contracts|Contracts|Договоры|договори
franchise.views.finance.last_month|Last month debt:|Долг за прошлый месяц:|Борг за минулий місяць:
franchise.views.finance.system_debt|Supplier's debt to system:|Долг поставщика перед системой:|Борг постачальника перед системою:
franchise.views.finance.debts|Debts|Долги|борги
Доллар США|US dollar|Доллар США|Долар США
common.models.house|Building|Дом|будинок
Доминика|Dominica|Доминика|Домініка
Доминиканская Республика|"Dominican Republic
"|Доминиканская Республика|Домініканська республіка
frontend.views.settings.additional_email|Additional email|Дополнительные email|додаткові email
frontend.views.vendor.delivery|Delivery|Доставка|доставка
frontend.controllers.def.access_denied_two|Access is prohibited|Доступ запрещен|Доступ заборонено
frontend.views.settings.forbidden|Access is prohibited|Доступ запрещен.|Доступ заборонено.
franchise.views.finance.income_from_vendor|Revenue for form supplier|Доход за от поставщика:|Дохід за від постачальника:
frontend.views.vendor.doublicate_two|Make a copy|Дублировать|дублювати
Евро|Euro|Евро|євро
Египет|Egypt|Египет|Єгипет
frontend.views.vendor.measure|Unit of measure|Ед измерения|Од
Ед. измерения|Unit. measurements|Ед. измерения|Од. виміру
frontend.views.order.grid_unit|Unit. measurements|Ед. измерения |Од. виміру
market.views.site.product.measure|Unit of measure:|Ед. измерения:|Од. виміру:
frontend.controllers.order.mea|Unit of measure|Ед.изм|Од. вим
frontend.views.vendor.measure_two|Unit of measure|Единица измерения|Одиниця виміру
frontend.views.order.measure|Unit of measure:|Единица измерения:|Одиниця виміру:
frontend.views.request.daily_two|Daily|Ежедневно|щодня
franchise.views.finance.monthly_payment|Monthly payment:|Ежемесячный платеж:|Щомісячний платіж:
frontend.views.site.several_vendors|If several suppliers participate in one order at the same time and at that some of them have minimum order quantity less than the total amount of the order, MixCart will inform you and suggest a sum you need to increase your order to achieve minimal quantity.|Если в заказе одновременно участвуют несколько поставщиков, при этом у некоторых из них порог минимального заказа ниже, чем сумма заказа, MixCart сообщит вам об этом, и подскажет на какую сумму нужно дозаказать, что бы был достигнут минимальный порог.|Якщо в замовленні одночасно беруть участь кілька постачальників, при цьому у деяких з них поріг мінімального замовлення нижче, ніж сума замовлення, MixCart повідомить вам про це, і підкаже на яку суму потрібно дозаказать, що б було досягнуто мінімальний поріг.
franchise.mail.layouts.html.dont_wanna|If you don’t want to receive notifications you can unsubscribe from this list clicking here.|Если вы больше не хотите получать уведомления, вы можете отписаться от получения рассылок перейдя по этой ссылке.|Якщо ви більше не хочете отримувати повідомлення, ви можете відписатися від отримання розсилок перейшовши за цим посиланням.
common.mail.test.text2||Если вы видите это письмо, скорее всего, у вас нет никаких проблем с получением нашей почты, либо эти проблемы были решены.|Якщо ви бачите цей лист, швидше за все, у вас немає ніяких проблем з отриманням нашої пошти, або ці проблеми були вирішені.
frontend.views.site.marketplace|If you just opened a restaurant and you did not find a supplier you can easily find an appropriate supplier here.<br/>Go to Market place and select appropriate suppliers. |Если вы недавно открыли ресторан и поставщиков у вас пока еще нет, вы легко можете подобрать подходящих поставщиков.<br/>Зайдите в раздел Market place и выберите подходящих вам поставщиков.|Якщо ви недавно відкрили ресторан і постачальників у вас поки що немає, ви легко можете підібрати відповідних постачальників. <br/> Зайдіть в розділ Market place і виберіть потрібних вам постачальників.
market.views.site.rest.if_vendor|If you are supplier, offer your services to the restaurant|Если вы поставщик, предложите ресторану свои услуги|Якщо ви постачальник, запропонуйте ресторану свої послуги
frontend.views.site.error_two|If you consider there was an error in the application, please contact us|Если вы считаете, что это ошибка приложения, пожалуйста, свяжитесь с нами.|Якщо ви вважаєте, що це помилка програми, будь ласка, зв'яжіться з нами.
frontend.views.settings.if_you_wanna|If you want to add one more email to receive notifications without setting up a new one|Если вы хотите добавить еще один email для получения уведомлений без заведения нового сотрудника, то вы можете сделать это в таблице ниже.|Якщо ви хочете додати ще один email для отримання повідомлень без заведення нового співробітника, то ви можете зробити це в таблиці нижче.
franchise.mail.layouts.html.if_you_wanna|If you want to change notification settings please log in and come to section “Settings/Mails” and switch off receipt of undesired mails.|"Если вы хотите изменить настройки уведомлений, авторизуйтесь на сайте, зайдите в раздел ""Настройки/Почтовые уведомления"" и отключите получение нежелательных рассылок."|"Якщо ви хочете змінити налаштування повідомлень, авторизуйтесь на сайті, зайдіть в розділ ""Налаштування / Поштові повідомлення"" і відключіть отримання небажаних розсилок."
frontend.views.site.vendors_fault|If the order has not been delivered by the fault of the supplier, you can give supplier negative rating and leave honest feedback about his work and this incident. |Если заказ не был доставлен по вине поставщика, вы можете поставить негативную оценку поставщику и оставить честный отзыв о его работе и данном инциденте.|Якщо замовлення не був доставлений з вини постачальника, ви можете поставити негативну оцінку постачальнику і залишити чесний відгук про його роботу і даний інцидент.
frontend.views.site.debet|What if a client doesn't pay receivables?|Если клиент не выплачивает дебиторскую задолженность?|Якщо клієнт не виплачує дебіторську заборгованість?
market.views.site.main.wrong_city|If we mislocate your city, please find it on your own|Если мы неверно определили Ваш город, пожалуйста, найдите его самостоятельно|Якщо ми невірно визначили Ваше місто, будь ласка, знайдіть його самостійно
frontend.views.vendor.yep_two|Available|Есть|є
Жевательная резинка|Chewing gum|Жевательная резинка|Жувальна гумка
frontend.views.request.postponement_two|Is deferred payment preferable?|Желаемая отсрочка платежа?|Бажана відстрочка платежу?
common.mail.welcome.good_luck|Good luck in business!|Желаю Вам успехов в бизнесе|Бажаю Вам успіхів у бізнесі
api.common.mail.confirm_email.good_luck|Good luck in business.|Желаю Вам успехов в бизнесе.|Бажаю Вам успіхів у бізнесі.
franchise.views.anal.for_all_time_two|For the whole period|За все время|За весь час
frontend.views.vendor.monthly|within one month|За месяц|За місяць
franchise.views.anal.for_current_month_two|For the current month|За текущий месяц|За поточний місяць
frontend.views.user.forgot.forgot_two|Forgot your password|Забыли пароль|Забули пароль
frontend.views.order.ending_all|Completing…|Завершаем...|Завершуємо ...
frontend.views.vendor.complete|Completed|Завершен|завершено
frontend.clientintegr.rkws.views.waybill.completed||Завершена|завершена
frontend.views.site.complete_registration|Registration completion|Завершение регистрации|завершення реєстрації
frontend.views.order.ended|Completed |Завершено|завершено
frontend.views.vendor.end|End|Завершить|завершити
frontend.views.order.complete_order|Complete order|Завершить заказ|завершити замовлення
frontend.views.client.dashboard.make_own|Enter your suppliers|Завести своих поставщиков|Завести своїх постачальників
frontend.views.vendor.avatar|Load icon|Загрузить аватар|Завантажити аватар
frontend.views.vendor.import_six|Load a catalogue(.xls)|Загрузить каталог (.xls)|Завантажити каталог (.xls)
frontend.views.vendor.downl_cat_two|Upload catalogue (XLS)|Загрузить каталог (XLS)|Завантажити каталог (XLS)
frontend.views.vendor.file_down|Load file|Загрузить файл|завантажити файл
frontend.views.vendor.main_cat_down_two|Loading of Supplier Main Catalogue|Загрузка Главного каталога поставщика|Завантаження Головного каталогу постачальника
frontend.views.vendor.system_down|Supplier main catalogue loading while entering the system|Загрузка Главного каталога поставщика при входе в систему|Завантаження Головного каталогу постачальника при вході в систему
frontend.views.vendor.main_cat_down|Main catalogue loading|Загрузка главного каталога|Завантаження головного каталогу
frontend.views.vendor.downl_cat|Catalogue loading|Загрузка каталога|Завантаження каталогу
frontend.views.vendor.download|Loading…|Загрузка...|Завантаження ...
frontend.views.site.choose_info|"Go to ""Analytics"" and choose the required information. You can filter data as per purchasers, days, months, suppliers and ordered products."|"Зайдите в раздел ""аналитика"" и выберите интересующую вас информацию. Вы можете фильтровать данные по закупщикам, дням, месяца, поставщикам и заказанным продуктам."|"Зайдіть в розділ ""аналітика"" і виберіть цікаву для вас інформацію. Ви можете фільтрувати дані за закупникам, днях, місяці, постачальникам і замовленим продуктам."
frontend.views.site.add_cat_two|"Go to ""My suppliers"" and choose ""Add a Supplier"" in the menu, load the available catalogue of the supplier. The Supplier will receive notification and confirm that this catalogue and prices are pursuant to agreed data. "|"Зайдите в раздел ""мои поставщики"", выберите пункт меню ""добавить поставщика"", загрузите каталог поставщика, тот, что у вас есть. Поставщику придет уведомление и он подтвердит, то, что данный каталог, и цены соответствуют вашим договоренностям."|"Зайдіть в розділ ""мої постачальники"", виберіть пункт меню ""додати постачальника"", завантажте каталог постачальника, той, що у вас є. Постачальнику прийде повідомлення і він підтвердить, то, що даний каталог, і ціни відповідають вашим домовленостям."
